,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,61.5,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,61.5,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,61.3,50.4,53.3,51.8,39.7,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,61.5,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,208.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,221.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,234.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,260.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,273.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,286.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,299.0,61.3,50.4,53.3,51.8,39.4,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,28.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
